3@(-738,96)
10@(-738,96)
10@(-738,32)
3@(-684,384)
0@(-556,384)
0@(-620,416)
0@(-588,416)
0@(256,416)
0@(224,416)
0@(320,416)
0@(288,416)
0@(352,416)
0@(380,416)
0@(440,416)
0@(412,416)
0@(472,416)
0@(504,416)
0@(536,416)
0@(566,416)
0@(598,416)
0@(630,416)
0@(662,416)
0@(758,416)
0@(822,416)
0@(790,416)
0@(-192,352)
0@(-192,288)
0@(-224,384)
0@(-224,320)
0@(-224,288)
0@(-224,256)
0@(-256,224)
0@(-256,288)
0@(-256,384)
0@(-288,192)
0@(-288,320)
0@(-288,416)
0@(-320,160)
0@(-320,256)
0@(-320,352)
0@(-352,192)
0@(-352,288)
0@(-352,416)
0@(-384,224)
0@(-384,320)
0@(-384,416)
0@(-416,256)
0@(-416,352)
0@(-448,288)
0@(-448,384)
0@(-480,320)
0@(-480,416)
0@(-512,352)
0@(-352,96)
0@(-288,96)
0@(-352,32)
0@(-288,32)
0@(-352,0)
0@(-288,0)
10@(-320,0)
10@(-320,64)
0@(256,320)
0@(444,352)
0@(598,320)
3@(246,224)
3@(502,192)
3@(630,192)
0@(854,416)
0@(886,416)
0@(982,416)
0@(1014,416)
0@(160,416)
0@(192,416)
0@(128,416)
0@(96,416)
0@(64,416)
0@(32,416)
0@(0,416)
0@(-32,416)
0@(-64,416)
0@(-96,384)
0@(-160,320)
0@(-160,384)
0@(-128,416)
0@(-192,416)
0@(-320,416)
0@(-416,384)
0@(-128,352)
3@(576,224)
3@(576,256)
3@(448,224)
3@(512,192)
3@(1184,384)
3@(1184,384)
0@(1152,416)
0@(1184,416)
0@(1344,416)
0@(1504,416)
0@(1696,416)
0@(1536,64)
1@(1568,32)
0@(1696,64)
3@(1600,64)
5@(1600,64)
6@(1600,96)
10@(1632,128)
1@(1568,160)
0@(1824,416)
0@(1856,416)
0@(1888,416)
0@(1920,416)
0@(1952,416)
0@(1984,416)
0@(2048,416)
0@(2016,416)
0@(2080,416)
0@(2112,416)
0@(2144,416)
0@(2176,416)
0@(2208,416)
0@(2240,416)
0@(2112,384)
0@(2272,352)
0@(2336,416)
0@(2368,448)
0@(2240,384)
0@(2336,320)
0@(2336,288)
0@(2368,320)
0@(2368,256)
0@(2400,224)
0@(2400,288)
0@(2400,384)
0@(2432,192)
0@(2432,288)
0@(2432,384)
0@(2464,160)
0@(2464,256)
0@(2464,352)
0@(2496,128)
0@(2496,224)
0@(2496,320)
0@(2496,416)
0@(2528,160)
0@(2528,256)
0@(2528,352)
0@(2560,192)
0@(2560,320)
0@(2560,416)
0@(2592,224)
0@(2592,320)
0@(2592,416)
0@(2624,256)
0@(2624,352)
0@(2624,320)
0@(2656,288)
0@(2656,384)
0@(2656,416)
0@(2688,352)
0@(2688,320)
0@(2720,384)
0@(2720,352)
0@(2720,384)
0@(2752,384)
0@(2752,416)
0@(2784,416)
0@(2816,448)
0@(2752,352)
0@(2784,352)
0@(2816,352)
0@(3072,352)
0@(3104,352)
0@(3136,352)
10@(3104,288)
0@(2304,288)
0@(2272,384)
0@(2304,416)
0@(2304,384)
0@(2464,384)
0@(2496,384)
0@(2496,384)
0@(2528,384)
0@(2528,416)
0@(2624,448)
0@(2688,448)
